cat_id,display_name,asset_type,candidate_path,candidate_sha256,source_turnaround_path,source_turnaround_sha256,current_sprite_path,current_sprite_sha256,source_lock_id,active_screenshot,review_sheet,review_note,recommendation
saiban,Saiban,combat_sprite_refinement_512,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_saiban_combat_sprite_refinement_512_candidate_v001.png,dee5b8922436a7b551c8ff6e9e7221fd84fd65e71c6e2aa4cbc7e51604125a94,design/梦境支配者核心玩法/assets/characters/ch01_saiban_swordsaint/turnaround/saiban_turnaround_colored_2026-06-03.png,156a7fcb4ac3e9a75bf54788f12b7f18a43b6eaff3c14607ea689af612403dc1,Assets/TheCat/Art/Characters/Sprites/thecat_cat_saiban_combat_sprite_512_v001.png,fe13afc3758f19f66fd87debc56943a19b946ac78a44eab22d9ee1b146cc106b,saiban_turnaround_colored,05-active-cat-saiban.png,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_saiban_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/saiban_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
saiban,Saiban,front_animation_keyframe_512,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_saiban_front_animation_keyframe_512_idle_center_candidate_v001.png,dee5b8922436a7b551c8ff6e9e7221fd84fd65e71c6e2aa4cbc7e51604125a94,design/梦境支配者核心玩法/assets/characters/ch01_saiban_swordsaint/turnaround/saiban_turnaround_colored_2026-06-03.png,156a7fcb4ac3e9a75bf54788f12b7f18a43b6eaff3c14607ea689af612403dc1,Assets/TheCat/Art/Characters/Sprites/thecat_cat_saiban_combat_sprite_512_v001.png,fe13afc3758f19f66fd87debc56943a19b946ac78a44eab22d9ee1b146cc106b,saiban_turnaround_colored,05-active-cat-saiban.png,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_saiban_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/saiban_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
saiban,Saiban,hud_avatar_256,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_saiban_hud_avatar_256_candidate_v001.png,5d5a6668c4554dd2e920cf26461d8d8bb21fb3304e411635b71aa8a62b323093,design/梦境支配者核心玩法/assets/characters/ch01_saiban_swordsaint/turnaround/saiban_turnaround_colored_2026-06-03.png,156a7fcb4ac3e9a75bf54788f12b7f18a43b6eaff3c14607ea689af612403dc1,Assets/TheCat/Art/Characters/Sprites/thecat_cat_saiban_combat_sprite_512_v001.png,fe13afc3758f19f66fd87debc56943a19b946ac78a44eab22d9ee1b146cc106b,saiban_turnaround_colored,05-active-cat-saiban.png,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_saiban_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/saiban_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
saiban,Saiban,skill_icon_motif_128,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_saiban_skill_icon_motif_128_candidate_v001.png,f22b2fa57ca7e07c5bce3a336234ffe76892c89d7b72c6a520753bd6b54b98c2,design/梦境支配者核心玩法/assets/characters/ch01_saiban_swordsaint/turnaround/saiban_turnaround_colored_2026-06-03.png,156a7fcb4ac3e9a75bf54788f12b7f18a43b6eaff3c14607ea689af612403dc1,Assets/TheCat/Art/Characters/Sprites/thecat_cat_saiban_combat_sprite_512_v001.png,fe13afc3758f19f66fd87debc56943a19b946ac78a44eab22d9ee1b146cc106b,saiban_turnaround_colored,05-active-cat-saiban.png,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_saiban_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/saiban/batch_05_source_locked_derivatives_2026-06-14/saiban_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
nephthys,Nephthys,combat_sprite_refinement_512,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_nephthys_combat_sprite_refinement_512_candidate_v001.png,c068903b6816af6208cd3807a507e23942aa058fcbdda75f0cf9ad4c8f6738b9,design/梦境支配者核心玩法/assets/characters/ch02_nephthys_moonsand_agent/turnaround/nephthys_turnaround_colored_2026-06-03.png,37ad1532c8a981baaff67c05009ddc38482e9f00e71e6addfb2b321dad31de06,Assets/TheCat/Art/Characters/Sprites/thecat_cat_nephthys_combat_sprite_512_v001.png,6eabcb75078dd2bfe9c5f0ba5191af40376ad7f9ea545b12d75f39b8ffb45a20,nephthys_turnaround_colored,06-active-cat-nephthys.png,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_nephthys_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/nephthys_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
nephthys,Nephthys,front_animation_keyframe_512,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_nephthys_front_animation_keyframe_512_idle_center_candidate_v001.png,c068903b6816af6208cd3807a507e23942aa058fcbdda75f0cf9ad4c8f6738b9,design/梦境支配者核心玩法/assets/characters/ch02_nephthys_moonsand_agent/turnaround/nephthys_turnaround_colored_2026-06-03.png,37ad1532c8a981baaff67c05009ddc38482e9f00e71e6addfb2b321dad31de06,Assets/TheCat/Art/Characters/Sprites/thecat_cat_nephthys_combat_sprite_512_v001.png,6eabcb75078dd2bfe9c5f0ba5191af40376ad7f9ea545b12d75f39b8ffb45a20,nephthys_turnaround_colored,06-active-cat-nephthys.png,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_nephthys_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/nephthys_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
nephthys,Nephthys,hud_avatar_256,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_nephthys_hud_avatar_256_candidate_v001.png,5431221463e10f65fd82c66a24fc2521d6234d9d7aa52845cf1c52f66fbbf77a,design/梦境支配者核心玩法/assets/characters/ch02_nephthys_moonsand_agent/turnaround/nephthys_turnaround_colored_2026-06-03.png,37ad1532c8a981baaff67c05009ddc38482e9f00e71e6addfb2b321dad31de06,Assets/TheCat/Art/Characters/Sprites/thecat_cat_nephthys_combat_sprite_512_v001.png,6eabcb75078dd2bfe9c5f0ba5191af40376ad7f9ea545b12d75f39b8ffb45a20,nephthys_turnaround_colored,06-active-cat-nephthys.png,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_nephthys_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/nephthys_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
nephthys,Nephthys,skill_icon_motif_128,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_nephthys_skill_icon_motif_128_candidate_v001.png,be4374da017e2ad516166a0bdc5b32924ef145e380d85bddc5e6c7a09bfc2887,design/梦境支配者核心玩法/assets/characters/ch02_nephthys_moonsand_agent/turnaround/nephthys_turnaround_colored_2026-06-03.png,37ad1532c8a981baaff67c05009ddc38482e9f00e71e6addfb2b321dad31de06,Assets/TheCat/Art/Characters/Sprites/thecat_cat_nephthys_combat_sprite_512_v001.png,6eabcb75078dd2bfe9c5f0ba5191af40376ad7f9ea545b12d75f39b8ffb45a20,nephthys_turnaround_colored,06-active-cat-nephthys.png,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_nephthys_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/nephthys/batch_05_source_locked_derivatives_2026-06-14/nephthys_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
suzune,Suzune,combat_sprite_refinement_512,design/development/asset_candidates/starter_cats/suzune/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_suzune_combat_sprite_refinement_512_candidate_v001.png,8217c96f08e0827f53780c475d191b386d11574765e18549f415f640d78a428a,design/梦境支配者核心玩法/assets/characters/ch03_suzune_sleep_shrine_maiden/turnaround/suzune_turnaround_colored_2026-06-03.png,9b616470da7daa77ad27c70d2b0bf3b3f30649ce0b639f6550589b9e6fe700b3,Assets/TheCat/Art/Characters/Sprites/thecat_cat_suzune_combat_sprite_512_v001.png,246ddd74501b4e81482d03e329b27c898ddd61b580bc30abeeeadef3aa61eaae,suzune_turnaround_colored,07-active-cat-suzune.png,design/development/asset_candidates/starter_cats/suzune/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_suzune_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/suzune/batch_05_source_locked_derivatives_2026-06-14/suzune_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
suzune,Suzune,front_animation_keyframe_512,design/development/asset_candidates/starter_cats/suzune/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_suzune_front_animation_keyframe_512_idle_center_candidate_v001.png,8217c96f08e0827f53780c475d191b386d11574765e18549f415f640d78a428a,design/梦境支配者核心玩法/assets/characters/ch03_suzune_sleep_shrine_maiden/turnaround/suzune_turnaround_colored_2026-06-03.png,9b616470da7daa77ad27c70d2b0bf3b3f30649ce0b639f6550589b9e6fe700b3,Assets/TheCat/Art/Characters/Sprites/thecat_cat_suzune_combat_sprite_512_v001.png,246ddd74501b4e81482d03e329b27c898ddd61b580bc30abeeeadef3aa61eaae,suzune_turnaround_colored,07-active-cat-suzune.png,design/development/asset_candidates/starter_cats/suzune/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_suzune_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/suzune/batch_05_source_locked_derivatives_2026-06-14/suzune_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
suzune,Suzune,hud_avatar_256,design/development/asset_candidates/starter_cats/suzune/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_suzune_hud_avatar_256_candidate_v001.png,59f2b6745150dcb231cdb7f414f760219747324eb08ec4b74d7abe92ba1a449c,design/梦境支配者核心玩法/assets/characters/ch03_suzune_sleep_shrine_maiden/turnaround/suzune_turnaround_colored_2026-06-03.png,9b616470da7daa77ad27c70d2b0bf3b3f30649ce0b639f6550589b9e6fe700b3,Assets/TheCat/Art/Characters/Sprites/thecat_cat_suzune_combat_sprite_512_v001.png,246ddd74501b4e81482d03e329b27c898ddd61b580bc30abeeeadef3aa61eaae,suzune_turnaround_colored,07-active-cat-suzune.png,design/development/asset_candidates/starter_cats/suzune/batch_05_source_locked_derivatives_2026-06-14/thecat_cat_suzune_batch05_source_locked_review_sheet.png,design/development/asset_candidates/starter_cats/suzune/batch_05_source_locked_derivatives_2026-06-14/suzune_batch05_source_locked_candidate_review.md,candidate_review_only_pending_playmode_screenshot
