asset_id,review_status,notes
thecat_map_cat_room_warm_wood_floor_tile_patch_batch93,pending_agent_review,
thecat_map_cat_room_soft_oval_prop_shadow_decal_batch93,pending_agent_review,
thecat_map_cat_room_rose_rug_edge_strip_batch93,pending_agent_review,
thecat_map_cat_room_teal_cushion_placement_shadow_pad_batch93,pending_agent_review,
thecat_map_cat_room_cream_wall_baseboard_straight_batch93,pending_agent_review,
thecat_map_cat_room_cream_wall_baseboard_corner_batch93,pending_agent_review,
thecat_map_cat_room_tiny_paw_print_floor_scuff_batch93,pending_agent_review,
thecat_map_cat_room_moonlit_window_light_floor_patch_batch93,pending_agent_review,
thecat_map_cat_room_small_dream_crack_ground_decal_batch93,pending_agent_review,
thecat_map_cat_room_threshold_mat_doorstep_trim_batch93,pending_agent_review,
thecat_map_cat_room_soft_dust_sparkle_ground_decal_batch93,pending_agent_review,
thecat_map_cat_room_rounded_room_boundary_corner_trim_batch93,pending_agent_review,
