asset_id,cat,skill,size,selected_source_version,path,status,reason
thecat_ui_skill_saiban_shield_barrier_256_recommended_candidate_v001,saiban,shield_barrier,256x256,v003_lightframe,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_256/thecat_ui_skill_saiban_shield_barrier_256_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Switch to v003 for cleaner 32px shield read.
thecat_ui_skill_saiban_shield_barrier_128_recommended_candidate_v001,saiban,shield_barrier,128x128,v003_lightframe,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_128/thecat_ui_skill_saiban_shield_barrier_128_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Switch to v003 for cleaner 32px shield read.
thecat_ui_skill_saiban_shield_barrier_64_recommended_candidate_v001,saiban,shield_barrier,64x64,v003_lightframe,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_64/thecat_ui_skill_saiban_shield_barrier_64_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Switch to v003 for cleaner 32px shield read.
thecat_ui_skill_saiban_shield_barrier_32_recommended_candidate_v001,saiban,shield_barrier,32x32,v003_lightframe,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_32/thecat_ui_skill_saiban_shield_barrier_32_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Switch to v003 for cleaner 32px shield read.
thecat_ui_skill_saiban_moon_sword_sweep_256_recommended_candidate_v001,saiban,moon_sword_sweep,256x256,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_256/thecat_ui_skill_saiban_moon_sword_sweep_256_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for sharper sword sweep.
thecat_ui_skill_saiban_moon_sword_sweep_128_recommended_candidate_v001,saiban,moon_sword_sweep,128x128,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_128/thecat_ui_skill_saiban_moon_sword_sweep_128_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for sharper sword sweep.
thecat_ui_skill_saiban_moon_sword_sweep_64_recommended_candidate_v001,saiban,moon_sword_sweep,64x64,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_64/thecat_ui_skill_saiban_moon_sword_sweep_64_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for sharper sword sweep.
thecat_ui_skill_saiban_moon_sword_sweep_32_recommended_candidate_v001,saiban,moon_sword_sweep,32x32,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_32/thecat_ui_skill_saiban_moon_sword_sweep_32_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for sharper sword sweep.
thecat_ui_skill_saiban_battle_flag_rally_256_recommended_candidate_v001,saiban,battle_flag_rally,256x256,v003_lightframe,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_256/thecat_ui_skill_saiban_battle_flag_rally_256_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Switch to v003; avoids crescent/crowd and reads cleaner than v002.
thecat_ui_skill_saiban_battle_flag_rally_128_recommended_candidate_v001,saiban,battle_flag_rally,128x128,v003_lightframe,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_128/thecat_ui_skill_saiban_battle_flag_rally_128_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Switch to v003; avoids crescent/crowd and reads cleaner than v002.
thecat_ui_skill_saiban_battle_flag_rally_64_recommended_candidate_v001,saiban,battle_flag_rally,64x64,v003_lightframe,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_64/thecat_ui_skill_saiban_battle_flag_rally_64_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Switch to v003; avoids crescent/crowd and reads cleaner than v002.
thecat_ui_skill_saiban_battle_flag_rally_32_recommended_candidate_v001,saiban,battle_flag_rally,32x32,v003_lightframe,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_32/thecat_ui_skill_saiban_battle_flag_rally_32_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Switch to v003; avoids crescent/crowd and reads cleaner than v002.
thecat_ui_skill_saiban_sun_charge_burst_256_recommended_candidate_v001,saiban,sun_charge_burst,256x256,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_256/thecat_ui_skill_saiban_sun_charge_burst_256_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for stronger sun burst.
thecat_ui_skill_saiban_sun_charge_burst_128_recommended_candidate_v001,saiban,sun_charge_burst,128x128,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_128/thecat_ui_skill_saiban_sun_charge_burst_128_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for stronger sun burst.
thecat_ui_skill_saiban_sun_charge_burst_64_recommended_candidate_v001,saiban,sun_charge_burst,64x64,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_64/thecat_ui_skill_saiban_sun_charge_burst_64_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for stronger sun burst.
thecat_ui_skill_saiban_sun_charge_burst_32_recommended_candidate_v001,saiban,sun_charge_burst,32x32,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_32/thecat_ui_skill_saiban_sun_charge_burst_32_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for stronger sun burst.
thecat_ui_skill_saiban_shield_counter_impact_256_recommended_candidate_v001,saiban,shield_counter_impact,256x256,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_256/thecat_ui_skill_saiban_shield_counter_impact_256_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for stronger impact readability.
thecat_ui_skill_saiban_shield_counter_impact_128_recommended_candidate_v001,saiban,shield_counter_impact,128x128,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_128/thecat_ui_skill_saiban_shield_counter_impact_128_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for stronger impact readability.
thecat_ui_skill_saiban_shield_counter_impact_64_recommended_candidate_v001,saiban,shield_counter_impact,64x64,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_64/thecat_ui_skill_saiban_shield_counter_impact_64_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for stronger impact readability.
thecat_ui_skill_saiban_shield_counter_impact_32_recommended_candidate_v001,saiban,shield_counter_impact,32x32,v001,design/development/asset_candidates/ui/starter_skill_icon_motifs/batch_80_starter_skill_icon_motifs_2026-06-25/recommended/recommended_32/thecat_ui_skill_saiban_shield_counter_impact_32_recommended_candidate_v001.png,recommended_candidate_pending_unity_import_decision,Keep current for stronger impact readability.
