asset_id,icon_id,display_name,size_variant,batch_slug,asset_type,candidate_path,candidate_sha256,candidate_size,source_prompt_path,source_image_path,source_image_sha256,alpha_sheet_path,alpha_sheet_sha256,contact_sheet,review_sheet,review_note,process_note,recommendation,visual_review
thecat_ui_system_icon_settings_128_candidate_v001,settings,Settings gear,128,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_128/thecat_ui_system_icon_settings_128_candidate_v001.png,ade1f8d42239be05144bbc6cc570342f5199fa169ee631bfb2ecd7fcf8778865,128x128,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,cog with moon-blue glass center
thecat_ui_system_icon_settings_64_candidate_v001,settings,Settings gear,64,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_64/thecat_ui_system_icon_settings_64_candidate_v001.png,29b7afa9d7ac033a30554707b10840bd10658c6a3593e64579ed17f1e19f29ad,64x64,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,cog with moon-blue glass center
thecat_ui_system_icon_settings_32_candidate_v001,settings,Settings gear,32,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_32/thecat_ui_system_icon_settings_32_candidate_v001.png,13c92ad7b26ff5188b02f9c8824ebf9eb4e67be47357636fe6fec2b892099848,32x32,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,cog with moon-blue glass center
thecat_ui_system_icon_sound_128_candidate_v001,sound,Sound on,128,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_128/thecat_ui_system_icon_sound_128_candidate_v001.png,351aae551f61e9bc4c72ed40ddf918c1613d672ff45698aa75d1a1a8737f1cc4,128x128,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,speaker with two sound arcs
thecat_ui_system_icon_sound_64_candidate_v001,sound,Sound on,64,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_64/thecat_ui_system_icon_sound_64_candidate_v001.png,5d70b3fa7dc86c5678a7c4f22ad0393023c0ab48fb0078ce39e32fc120744e4b,64x64,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,speaker with two sound arcs
thecat_ui_system_icon_sound_32_candidate_v001,sound,Sound on,32,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_32/thecat_ui_system_icon_sound_32_candidate_v001.png,ea3ac75cec3d0d417b594e6bb158abc1d89669e4b696a20d5843fc8eb714ac5e,32x32,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,speaker with two sound arcs
thecat_ui_system_icon_mute_128_candidate_v001,mute,Sound muted,128,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_128/thecat_ui_system_icon_mute_128_candidate_v001.png,2b0d7365d54754c021409414d1ec7583bdd4728e53a320cd280d0af9087679ff,128x128,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,speaker with diagonal slash
thecat_ui_system_icon_mute_64_candidate_v001,mute,Sound muted,64,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_64/thecat_ui_system_icon_mute_64_candidate_v001.png,57490a583567999420f3081736e2a34c9132477ec35685d2e5ac75fbd954b2d3,64x64,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,speaker with diagonal slash
thecat_ui_system_icon_mute_32_candidate_v001,mute,Sound muted,32,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_32/thecat_ui_system_icon_mute_32_candidate_v001.png,02994b0edac297787841ea32c3b026a834bde702157afafd40d5c94e4021e8a3,32x32,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,speaker with diagonal slash
thecat_ui_system_icon_back_128_candidate_v001,back,Back,128,batch_79_system_icon_candidates_2026-06-24,system_icon_candidate,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/icons_128/thecat_ui_system_icon_back_128_candidate_v001.png,129bc069fdd368adc8496abb50e5229f00fbeb8833d43b523887d9f99ecf8fe7,128x128,design/development/agent_prompts/p0_asset_batch_79_system_icon_candidates.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_chromakey_source_v001.png,c33779af47e292bf00d31f19c9f6bb337a687612995b4c06fa9a8f5a804a4a63,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_alpha_sheet_v001.png,8532bc5aab0cc97aa03b2572071d8aa72d2f27bad19a9b61477900f59913c09d,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_contact_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_candidate_review.md,design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_process_note.md,candidate_review_only_do_not_import,left arrow with rounded dreamglass tail
